"personagem" "diálogo"
"399" "LEIA" "Com medo?"
"400" "HAN" "Você está tremendo."
"401" "LEIA" "Não estou tremendo."
"402" "HAN" "Você gosta de mim porque eu sou um canalha. Não há canalhas suficientes em sua vida."
"403" "LEIA" "Acontece que gosto de homens legais."
"404" "HAN" "Sou um bom homem."
"405" "LEIA" "Não, você não está. Você está..."
"406" "THREEPIO" "Senhor, senhor! Isolei o acoplamento de fluxo de potência reversa."
"407" "HAN" "Obrigado. Muito obrigado."
"408" "THREEPIO" "Ah, de nada, senhor."
"409" "NEEDA" "... e essa, Lord Vader, foi a última vez que eles apareceram em qualquer uma de nossas miras. Considerando a quantidade de dano que sofremos, eles devem ter sido destruídos."
"410" "VADER" "Não, Capitão, eles estão vivos. Quero que todas as naves disponíveis varrem o campo de asteróides até serem encontradas."
"411" "PIETT" "Lorde Vader."
"412" "VADER" "Sim, Almirante, o que é?"
"413" "PIETT" "O Imperador ordena que você faça contato com ele."
"414" "VADER" "Mova a nave para fora do campo de asteróides para que possamos enviar uma transmissão clara."
"415" "PIETT" "Sim, meu senhor."
"416" "VADER" "Qual é a tua ordem, meu mestre?"
"417" "IMPERADOR" "Há uma grande perturbação na Força."
"418" "VADER" "Eu senti."
"419" "IMPERADOR" "Temos um novo inimigo - Luke Skywalker."
"420" "VADER" "Sim, meu mestre."
"421" "IMPERADOR" "Ele poderia nos destruir."
"422" "VADER" "Ele é apenas um garoto. Obi-Wan não pode mais ajudá-lo."
"423" "IMPERADOR" "A Força é forte com ele. O filho de Skywalker não deve se tornar um Jedi."
"424" "VADER" "Se ele pudesse ser transformado, ele se tornaria um poderoso aliado."
"425" "IMPERADOR" "Sim. Sim. Ele seria um grande trunfo. Pode ser feito?"
"426" "VADER" "Ele se juntará a nós ou morrerá, meu mestre."
"427" "LUKE" "Olha, tenho certeza que está delicioso. Só não entendo porque não podemos ver Yoda agora."
"428" "CRIATURA" "Paciência! Para os Jedi é hora de comer também. Comer, comer. Quente. Boa comida, hm? Boa, hmm?"
"429" "LUKE" "A que distância está Yoda? Levaremos muito tempo para chegarmos lá?"
"430" "CRIATURA" "Não muito longe. Yoda não muito longe. Paciência. Logo você estará com ele. Rootleaf, eu cozinho. Por que deseja que você se torne um Jedi? Hm?"
"431" "LUKE" "Principalmente por causa do meu pai, eu acho."
"432" "CRIATURA" "Ah, seu pai. Jedi poderoso era ele, Jedi poderoso, mmm."
"433" "LUKE" "Ah, vamos lá. Como você pode conhecer meu pai? Você nem sabe quem eu sou. Ah, eu nem sei o que estou fazendo aqui. Estamos perdendo nosso tempo. ."
"434" "CRIATURA" "Eu não posso ensiná-lo. O menino não tem paciência."
"435" "BEN" "Ele aprenderá a ter paciência."
"436" "YODA" "Hmmm. Muita raiva nele, como seu pai."
"437" "BEN" "Eu era diferente quando você me ensinou?"
"438" "YODA" "Hah. Ele não está pronto."
"439" "LUKE" "Yoda! Estou pronto. Eu... Ben! Eu posso ser um Jedi. Ben, diga a ele que estou pronto."
"440" "YODA" "Pronto, você está? O que você sabe? Por oitocentos anos eu treinei Jedi. Meu próprio conselho eu vou manter sobre quem deve ser treinado! Um Jedi deve ter o mais profundo compromisso, o mais mente séria. Este há muito tempo eu assisti. Não se importava com onde ele estava. Hmm? O que ele estava fazendo. Hmph. Aventura. Heh! Excitação. Heh! Um Jedi não anseia por essas coisas. Você é imprudente!"
"441" "BEN" "Eu também, se você se lembra."
"442" "YODA" "Ele é muito velho. Sim, muito velho para começar o treinamento."
"443" "LUKE" "Mas eu aprendi tanto."
"444" "YODA" "Ele terminará o que começou?"
"445" "LUKE" "Eu não vou falhar com você - eu não tenho medo."
"446" "YODA" "Oh, você será. Você será."
"447" "THREEPIO" "Senhor, se me permite uma opinião..."
"448" "HAN" "Não estou realmente interessado em sua opinião, Threepio."
"449" "LEIA" "Há algo lá fora."
"450" "HAN" "Onde?"
"451" "LEIA" "Lá fora, na caverna."
"452" "THREEPIO" "Aí está. Ouça! Ouça!"
"453" "HAN" "Eu vou lá fora."
"454" "LEIA" "Você está louco?!"
"455" "HAN" "Acabei de juntar este balde. Não vou deixar que algo o destrua."
"456" "LEIA" "Então eu vou com você."
"457" "THREEPIO" "Acho que seria melhor se eu ficasse aqui e guardasse o navio. Oh, não."
"458" "LEIA" "Esse chão com certeza parece estranho. Não parece nada de pedra."
"459" "HAN" "Tem muita umidade aqui."
"460" "LEIA" "Não sei. Estou com um mau pressentimento sobre isso."
"461" "HAN" "Sim."
"462" "HAN" "Cuidado!"
"463" "HAN" "Sim, foi o que eu pensei. Mynock. Chewie, verifique o resto da nave, certifique-se de que não há mais nenhum preso. Eles estão mastigando os cabos de energia."
"464" "LEIA" "Mynocks?"
"465" "HAN" "Vá para dentro. Nós vamos limpá-los se houver mais algum."
"466" "THREEPIO" "Ohhh! Vá embora! Vá embora! Coisa besta. Shoo! Shoo!"
"467" "HAN" "Espere um minuto..."
"468" "HAN" "Tudo bem, Chewie, vamos sair daqui!"
"469" "LEIA" "O Império ainda está lá fora. Eu não acho que seja sensato..."
"470" "HAN" "Não há tempo para discutir isso como um comitê."
"471" "LEIA" "Eu não sou um comitê!"
"472" "LEIA" "Você não pode saltar para a velocidade da luz neste campo de asteróides..."
"473" "HAN" "Sente-se, querida. Estamos decolando!"
"474" "THREEPIO" "Olha!"
"475" "HAN" "Eu vejo, eu vejo."
"476" "THREEPIO" "Estamos condenados!"
"477" "LEIA" "A caverna está desmoronando."
"478" "HAN" "Isto não é uma caverna."
"479" "LEIA" "O quê?"
"480" "YODA" "Corra! Sim. A força de um Jedi flui da Força. Mas cuidado com o lado negro. Raiva... medo... agressão. O lado negro da Força são eles. Facilmente eles fluem, rápido para se juntar a você em uma luta. Se uma vez que você iniciar o caminho escuro, para sempre ele dominará seu destino, consumirá você, como fez com o aprendiz de Obi-Wan."
"481" "LUKE" "Vader. O lado negro é mais forte?"
"482" "YODA" "Não... não... não. Mais rápido, mais fácil, mais sedutor."
"483" "LUKE" "Mas como vou distinguir o lado bom do ruim?"
"484" "YODA" "Você saberá. Quando estiver calmo, em paz. Passivo. Um Jedi usa a Força para conhecimento e defesa, nunca para ataque."
"485" "LUKE" "Mas me diga por que não posso..."
"486" "YODA" "Não, não, não há por quê. Nada mais vou te ensinar hoje. Limpe sua mente de perguntas. Mmm. Mmmmmm."
"487" "LUKE" "Tem alguma coisa errada aqui."
"488" "LUKE" "Sinto frio, morte."
"489" "YODA" "Aquele lugar... é forte com o lado negro da Força. É um domínio do mal. Em você deve ir."
"490" "LUKE" "O que tem aí?"
"491" "YODA" "Só o que você leva com você."
"492" "YODA" "Suas armas... você não vai precisar delas."
"493" "PIETT" "Caçadores de recompensas. Não precisamos dessa escória."
"494" "PRIMEIRO CONTROLADOR" "Sim, senhor."
"495" "PIETT" "Esses rebeldes não vão escapar de nós."
"496" "SEGUNDO CONTROLADOR" "Senhor, temos um sinal prioritário do Star Destroyer Avenger."
"497" "PIETT" "Certo."
"498" "VADER" "... haverá uma recompensa substancial para quem encontrar a Millennium Falcon. Você é livre para usar quaisquer métodos necessários, mas eu os quero vivos. Sem desintegrações."
"499" "BOBA FETT" "Como desejar."
"500" "PIETT" "Lorde Vader! Meu senhor, nós os temos."
"501" "THREEPIO" "Ah, graças a Deus estamos saindo do campo de asteróides."
"502" "HAN" "Vamos sair daqui. Pronto para a velocidade da luz? Um...dois...três!"
"503" "HAN" "Não é justo!"
"504" "HAN" "Os circuitos de transferência estão funcionando. Não é minha culpa!"
"505" "LEIA" "Sem velocidade da luz?"
"506" "HAN" "Não é minha culpa."
"507" "THREEPIO" "Senhor, acabamos de perder o escudo defletor traseiro principal. Mais um golpe direto no quarto traseiro e estamos acabados."
"508" "HAN" "Vire-a."
"509" "HAN" "Eu disse para virar ela! Vou colocar todo o poder no escudo frontal."
"510" "LEIA" "Você vai atacá-los?!"
"511" "THREEPIO" "Senhor, as chances de sobreviver a um ataque direto a um Destróier Estelar Imperial..."
"512" "LEIA" "Cala a boca!"
"513" "NEEDA" "Eles estão se movendo para a posição de ataque. Escudos para cima!"
"514" "NEEDA" "Rastreie-os. Eles podem aparecer para outra passagem."
"515" "OFICIAL DE RASTREAMENTO" "Capitão Needa, a nave não aparece mais em nossas miras."
"516" "NEEDA" "Eles não podem ter desaparecido. Nenhuma nave tão pequena tem um dispositivo de camuflagem."
"517" "OFICIAL DE RASTREAMENTO" "Bem, não há vestígios deles, senhor."
"518" "OFICIAL DE COMUNICAÇÕES" "Capitão, Lord Vader exige uma atualização sobre a perseguição."
"519" "NEEDA" "Prepare uma nave auxiliar. Assumirei total responsabilidade por perdê-la, e peço desculpas a Lorde Vader. Enquanto isso, continue vasculhando a área."
"520" "OFICIAL DE COMUNICAÇÕES" "Sim, Capitão Needa."
"521" "YODA" "Use a Força. Sim..."
"522" "YODA" "Agora... a pedra. Sinta-a."
"523" "YODA" "Concentre-se!"
"524" "LUKE" "Ah, não. Nós nunca vamos lançá-lo agora."
"525" "YODA" "Tão certo você está. Sempre com você não pode ser feito. Não ouviu nada do que eu disse?"
"526" "LUKE" "Mestre, mover pedras é uma coisa. Isso é totalmente diferente."
"527" "YODA" "Não! Não é diferente! Apenas diferente em sua mente. Você deve desaprender o que aprendeu."
"528" "LUKE" "Tudo bem, vou tentar."
"529" "YODA" "Não! Tente não. Faça. Ou não. Não há tentativa."
"530" "LUKE" "Não posso. É muito grande."
"531" "YODA" "Tamanho não importa. Olhe para mim. Me julgue pelo meu tamanho, não é? Hm? Mmmm."
"532" "YODA" "E bem, você não deveria. Para meu aliado na Força. E um poderoso aliado é. A vida o cria, o faz crescer. Sua energia nos cerca e nos liga. Seres luminosos somos nós... ...não essa matéria bruta. Você deve sentir a Força ao seu redor. Aqui, entre você... eu... a árvore... a rocha... em todos os lugares! Sim, mesmo entre esta terra e aquele navio!"
"533" "LUKE" "Você quer o impossível."
"534" "LUKE" "Eu não... eu não acredito."
"535" "YODA" "É por isso que você falha."
"536" "VADER" "Desculpas aceitas, Capitão Needa."
"537" "PIETT" "Lorde Vader, nossas naves completaram a varredura da área e não encontraram nada. Se a Millennium Falcon entrou na velocidade da luz, já estará do outro lado da galáxia."
"538" "VADER" "Alertar todos os comandos. Calcular todos os destinos possíveis ao longo de sua última trajetória conhecida."
"539" "PIETT" "Sim, meu senhor. Nós vamos encontrá-los."
"540" "VADER" "Não me falhe de novo, Almirante."
"541" "PIETT" "Alertar todos os comandos. Implantar a frota."
"542" "THREEPIO" "Capitão Solo, desta vez você foi longe demais. Não, eu não vou ficar quieto, Chewbacca. Por que ninguém me ouve?"
"543" "HAN" "A frota está começando a se desintegrar. Volte e aguarde a liberação manual da garra de desembarque."
"544" "THREEPIO" "Eu realmente não vejo como isso vai ajudar. A rendição é uma alternativa perfeitamente aceitável em circunstâncias extremas. O Império pode ser gentil o suficiente..."
"545" "HAN" "Obrigado."
"546" "LEIA" "O que você tem em mente para o seu próximo movimento?"
"547" "HAN" "Bem, se eles seguirem o procedimento padrão do Império, eles vão despejar o lixo antes de ir para a velocidade da luz, então nós simplesmente flutuamos para longe."
"548" "LEIA" "Com o resto do lixo. E depois?"
"549" "HAN" "Então temos que encontrar um porto seguro em algum lugar por aqui. Tem alguma idéia?"
"550" "LEIA" "Não. Onde estamos?"
"551" "HAN" "O sistema Anoat."
"552" "LEIA" "Sistema Anoat. Não há muito lá."
"553" "HAN" "Não. Bem, espere. Isso é interessante. Lando."
"554" "LEIA" "Sistema Lando?"
"555" "HAN" "Lando não é um sistema, ele é um homem. Lando Calrissian. Ele é um jogador de cartas, jogador, canalha. Você gostaria dele."
"556" "LEIA" "Obrigado."
"557" "HAN" "Bespin. É muito longe, mas acho que podemos fazer isso."
"558" "LEIA" "Uma colônia de mineração?"
"559" "HAN" "Sim, uma mina de gás de Tibanna. Lando enganou alguém. Nós voltamos um longo caminho, Lando e eu."
"560" "LEIA" "Você pode confiar nele?"
"561" "HAN" "Não. Mas ele não tem amor pelo Império, eu posso te dizer isso."
"562" "HAN" "Aqui vamos nós, Chewie. Aguarde. Desapegue!"
"563" "LEIA" "Você tem seus momentos. Não muitos, mas você os tem."
"564" "YODA" "Concentre-se... sinta o fluxo da Força. Sim. Bom. Calma, sim. Através da Força, coisas que você verá. Outros lugares. O futuro... o passado. Velhos amigos se foram."
"565" "LUKE" "Han! Leia!"
"566" "YODA" "Hmm. Controle, controle. Você deve aprender a controlar."
"567" "LUKE" "Eu vi... eu vi uma cidade nas nuvens."
"568" "YODA" "Mmm. Amigos você tem aí."
"569" "LUKE" "Eles estavam com dor."
"570" "YODA" "É o futuro que você vê."
"571" "LUKE" "Futuro? Eles vão morrer?"
"572" "YODA" "Difícil de ver. Sempre em movimento está o futuro."
"573" "LUKE" "Eu tenho que ir até eles."
"574" "YODA" "Decida como você deve servi-los melhor. Se você sair agora, ajude-os que você poderia. Mas você destruiria tudo pelo que eles lutaram e sofreram."
"575" "HAN" "Não, não tenho autorização de pouso. Estou tentando falar com Lando Calrissian."
"576" "HAN" "Uau! Espere um minuto! Deixe-me explicar."
"577" "VOZ DE INTERCOM" "Você não se desviará de seu curso atual."
"578" "THREEPIO" "Bastante delicados, não são?"
"579" "LEIA" "Achei que você conhecesse essa pessoa."
"580" "HAN" "Bem, isso foi há muito tempo. Tenho certeza que ele se esqueceu disso."
"581" "INTERCOM VOICE" "Permissão concedida para pousar na Plataforma Três-dois-sete."
"582" "HAN" "Obrigado."
"583" "HAN" "Não há nada para se preocupar. Nós voltamos, Lando e eu."
"584" "LEIA" "Quem está preocupado?"
"585" "THREEPIO" "Ah. Ninguém para nos encontrar."
"586" "LEIA" "Eu não gosto disso."
"587" "HAN" "Bem, o que você gostaria?"
"588" "THREEPIO" "Bem, eles nos deixaram pousar."
"589" "HAN" "Olha, não se preocupe. Tudo vai ficar bem. Confie em mim."
"590" "HAN" "Viu? Meu amigo. Mantenha os olhos abertos, ok?"
"591" "LANDO" "Ora, seu vigarista viscoso, traidor e inútil! Você tem muita coragem vindo aqui, depois do que você puxou."
"592" "LANDO" "Como vai, seu velho pirata? Que bom te ver! Nunca pensei que fosse te encontrar de novo. Onde você esteve?"
"593" "THREEPIO" "Bem, ele parece muito amigável."
"594" "LEIA" "Sim... muito simpática."
"595" "LANDO" "O que você está fazendo aqui?"
"596" "HAN" "Ahh... reparos. Achei que você poderia me ajudar."
"597" "LANDO" "O que você fez com minha nave?"
"598" "HAN" "Sua nave? Ei, lembre-se, você a perdeu para mim de forma justa."
"599" "LANDO" "Olá. O que temos aqui? Bem-vindo. Sou Lando Calrissian. Sou o administrador desta instalação. E quem você pode ser?"
"600" "LEIA" "Leia."
"601" "LANDO" "Bem-vinda, Leia."
"602" "HAN" "Tudo bem, tudo bem, seu velho batido."
"603" "THREEPIO" "Olá, senhor. Eu sou See-Threepio, relações humano-ciborgue. Minhas instalações são em sua..."
"604" "THREEPIO" "Bem, sério!"
"605" "LANDO" "O que há de errado com o Falcon?"
"606" "HAN" "Hiperdrive."
"607" "LANDO" "Vou fazer meu pessoal trabalhar nisso."
"608" "HAN" "Bom."
"609" "LANDO" "Sabe, aquela nave salvou minha vida algumas vezes. Ela é o pedaço de lixo mais rápido da galáxia."
"610" "HAN" "Como está a mina de gás? Está valendo a pena para você?"
"611" "LANDO" "Ah, não tão bem quanto eu gostaria. Somos um pequeno posto avançado e não muito autossuficiente. E já tive problemas de abastecimento de todos os tipos. Tive dificuldades trabalhistas.. . O que é tão engraçado?"
"612" "HAN" "Você. Ouça você - você parece um homem de negócios, um líder responsável. Quem teria pensado isso, hein?"
"613" "LANDO" "Sabe, ver você com certeza traz algumas coisas de volta."
"614" "HAN" "Sim."
"615" "LANDO" "Sim, eu sou responsável hoje em dia. É o preço que você paga pelo sucesso."
"616" "THREEPIO" "Ah! É bom ver um rosto familiar."
"617" "SEGUNDO TRÊS EPIOS" "E chu ta!"
"618" "THREEPIO" "Que grosseria!"
"619" "THREEPIO" "Isso soa como uma unidade R2 ali. Será que..."
"620" "THREEPIO" "Olá? Que interessante. Oh, que coisa."
"621" "MAN" "Quem é você?"
"622" "THREEPIO" "Oh, eu sinto muito. Eu... eu não queria me intrometer. Não, não, por favor, não levante. Não!"
"623" "YODA" "Luke! Você deve completar o treinamento."
"624" "LUKE" "Eu não consigo tirar a visão da minha cabeça. Eles são meus amigos. Eu tenho que ajudá-los."
"625" "YODA" "Você não deve ir!"
"626" "LUKE" "Mas Han e Leia vão morrer se eu não morrer."
"627" "BEN" "Você não sabe disso."
"628" "BEN" "Mesmo Yoda não pode ver o destino deles."
"629" "LUKE" "Mas eu posso ajudá-los! Eu sinto a Força!"
"630" "BEN" "Mas você não pode controlá-lo. Este é um momento perigoso para você, quando você será tentado pelo lado negro da Força."
"631" "YODA" "Sim, sim. Para Obi-Wan você ouve. A caverna. Lembre-se de seu fracasso na caverna!"
"632" "LUKE" "Mas eu aprendi muito desde então. Mestre Yoda, eu prometo voltar e terminar o que comecei. Você tem minha palavra."
"633" "BEN" "É você e suas habilidades que o Imperador quer. é por isso que seus amigos são feitos para sofrer."
"634" "LUKE" "E é por isso que eu tenho que ir."
"635" "BEN" "Luke, eu não quero perder você para o Imperador do jeito que perdi Vader."
"636" "LUKE" "Você não vai."
"637" "YODA" "Devem estar parados. Disso depende. Apenas um Cavaleiro Jedi totalmente treinado com a Força como seu aliado conquistará Vader e seu Imperador. Se você terminar seu treinamento agora, se escolher o caminho rápido e fácil , como Vader fez, você se tornará um agente do mal."
"638" "BEN" "Paciência."
"639" "LUKE" "E sacrificar Han e Leia?"
"640" "YODA" "Se você honrar o que eles lutam... sim!"
"641" "BEN" "Se você escolher enfrentar Vader, você fará isso sozinho. Eu não posso interferir."
"642" "LUKE" "Entendo. Artoo, ligue os conversores."
"643" "BEN" "Luke, não ceda ao ódio - isso leva ao lado negro."
"644" "YODA" "Forte é Vader. Cuidado com o que você aprendeu. Salve você pode."
"645" "LUKE" "Eu vou. E eu vou voltar. Eu prometo."
"646" "YODA" "Eu te disse, eu disse. Ele é imprudente. Agora as coisas estão piores."
"647" "BEN" "Esse menino é nossa última esperança."
"648" "YODA" "Não. Há outro."
"649" "HAN" "O navio está quase pronto. Mais duas ou três coisas e estamos em ótima forma."
"650" "LEIA" "Quanto mais cedo melhor. Algo está errado aqui. Ninguém viu ou sabe nada sobre Threepio. Ele se foi há muito tempo para se perder."
"651" "HAN" "Relaxe. Vou falar com Lando e ver o que consigo descobrir."
"652" "LEIA" "Não confio em Lando."
"653" "HAN" "Bem, eu também não confio nele. Mas ele é meu amigo. Além disso, logo iremos embora."
"654" "LEIA" "E então você se foi, não é?"
"655" "LEIA" "O que aconteceu?"
"656" "HAN" "Onde? Encontrou-o em uma pilha de lixo?"
"657" "LEIA" "Ah, que bagunça. Chewie, você acha que pode consertá-lo?"
"658" "HAN" "Lando tem pessoas que podem consertá-lo."
"659" "LEIA" "Não, obrigado."
"660" "LANDO" "Desculpe. Estou interrompendo alguma coisa?"
"661" "LEIA" "Na verdade não."
"662" "LANDO" "Você está absolutamente linda. Você realmente pertence aqui conosco entre as nuvens."
"663" "LEIA" "Obrigado."
"664" "LANDO" "Você pode se juntar a mim para um refresco?"
"665" "LANDO" "Todos estão convidados, é claro."
"666" "LANDO" "Tendo problemas com seu droide?"
"667" "HAN" "Não. Sem problemas. Por quê?"
"668" "LANDO" "Então você vê, já que somos uma pequena operação, não caímos na... uh... jurisdição do Império."
"669" "LEIA" "Então você faz parte da guilda de mineração?"
"670" "LANDO" "Não, na verdade não. Nossa operação é pequena o suficiente para não ser notada... o que é vantajoso para todos, pois nossos clientes estão ansiosos para evitar chamar atenção para si mesmos."
"671" "HAN" "Você não tem medo de que o Império descubra sobre essa pequena operação e o feche?"
"672" "LANDO" "Isso sempre foi um perigo pairando como uma sombra sobre tudo o que construímos aqui. Mas as coisas se desenvolveram para garantir a segurança. Acabei de fazer um acordo que manterá o Império fora daqui para sempre. "
"673" "VADER" "Ficaríamos honrados se você se juntasse a nós."
"674" "LANDO" "Eu não tive escolha. Eles chegaram bem antes de você. Sinto muito."
"675" "HAN" "Sinto muito também."
"676" "LUKE" "Não, Threepio está com eles."
"677" "LUKE" "Espere aí. Estamos quase lá."
"678" "THREEPIO" "Mmmm. Oh, que coisa. Uh, eu, uh -- Tire isso! Eu, uh, não quero me intrometer aqui. Eu, não, não, não, não... Por favor, não se levante. Não!"
"679" "THREEPIO" "Stormtroopers? Aqui? Estamos em perigo. Devo contar aos outros. Oh, não! Fui baleado!"
"680" "LANDO" "Lord Vader."
"681" "VADER" "Você pode levar o Capitão Solo para Jabba the Hut depois que eu tiver Skywalker."
"682" "BOBA FETT" "Ele não é bom para mim morto."
"683" "VADER" "Ele não sofrerá danos permanentes."
"684" "LANDO" "Lorde Vader, e Leia e o Wookiee?"
"685" "VADER" "Eles nunca mais devem deixar esta cidade."
"686" "LANDO" "Isso nunca foi uma condição do nosso acordo, nem dar Han a esse caçador de recompensas!"
"687" "VADER" "Talvez você pense que está sendo tratado injustamente."
"688" "LANDO" "Não."
"689" "VADER" "Bom. Seria lamentável se eu tivesse que deixar uma guarnição aqui."
"690" "LANDO" "Esse negócio está ficando cada vez pior."
"691" "THREEPIO" "Oh, sim, isso é muito bom. Eu gosto disso. Oh! Algo não está certo porque agora eu não posso ver. Espere. Espere! Oh, meu! o que você fez? Estou para trás, sua bola de pêlos estúpida. Só um cabeça-dura como você já seria estúpido o suficiente..."
"692" "HAN" "Eu me sinto terrível."
"693" "LEIA" "Por que eles estão fazendo isso?"
"694" "HAN" "Eles nunca me fizeram nenhuma pergunta."
"695" "LEIA" "Lando."
"696" "HAN" "Saia daqui, Lando!"
"697" "LANDO" "Cale a boca e escute! Vader concordou em entregar Leia e Chewie para mim."
"698" "HAN" "Para você?"
"699" "LANDO" "Eles terão que ficar aqui, mas pelo menos estarão seguros."
"700" "LEIA" "E o Han?"
"701" "LANDO" "Vader está dando ele para o caçador de recompensas."
"702" "LEIA" "Vader quer todos nós mortos."
"703" "LANDO" "Ele não quer você de jeito nenhum. Ele está atrás de alguém chamado Skywalker."
"704" "HAN" "Luke?"
"705" "LANDO" "Lord Vader preparou uma armadilha para ele."
"706" "LEIA" "E nós somos a isca."
"707" "LANDO" "Bem, ele está a caminho."
"708" "HAN" "Perfeito. Você consertou todos nós muito bem, não foi? Meu amigo!"
"709" "LANDO" "Pare! Já fiz tudo o que posso fazer. Lamento não ter feito melhor, mas tenho meus próprios problemas."
"710" "HAN" "Sim, você é um verdadeiro herói."
"711" "LEIA" "Você certamente tem jeito com as pessoas."
"712" "VADER" "Esta instalação é rudimentar, mas deve ser adequada para congelar Skywalker em sua jornada até o Imperador."
"713" "SOLDADO IMPERIAL" "Lord Vader, nave se aproximando. Classe X-wing."
"714" "VADER" "Bom. Monitore Skywalker e permita que ele pouse."
"715" "LANDO" "Lorde Vader, nós só usamos esta instalação para congelamento de carbono. Se você colocá-lo lá, pode matá-lo."
"716" "VADER" "Não quero que o prêmio do Imperador seja danificado. Vamos testá-lo... no Capitão Solo."
"717" "THREEPIO" "Se você tivesse anexado minhas pernas, eu não estaria nesta posição ridícula. Agora, lembre-se, Chewbacca, você tem uma responsabilidade comigo, então não faça nada tolo."
"718" "HAN" "O que está acontecendo... amigo?"
"719" "LANDO" "Você está sendo colocado em congelamento de carbono."
"720" "BOBA FETT" "E se ele não sobreviver? Ele vale muito para mim."
"721" "VADER" "O Império o compensará se ele morrer. Coloque-o aqui!"
"722" "THREEPIO" "Oh, não! Não, não, não! Pare, Chewbacca, pare...!"
"723" "HAN" "Pare, Chewie, pare! Está me ouvindo? Pare!"
"724" "THREEPIO" "Sim, pare, por favor! Não estou pronto para morrer."
"725" "HAN" "Chewie! Chewie, isso não vai me ajudar. Ei!"
"726" "HAN" "Guarde suas forças. Haverá outra hora. A princesa - você tem que cuidar dela. Você me ouviu?"
"727" "LEIA" "Eu te amo!"
"728" "HAN" "Eu sei."
"729" "THREEPIO" "O que... o que está acontecendo? Vire-se, Chewbacca, não consigo ver. Oh... eles o envolveram em carbonita. Ele deve estar bem protegido - se sobreviver o processo de congelamento, isto é."
"730" "VADER" "Bem, Calrissian, ele sobreviveu?"
"731" "LANDO" "Sim, ele está vivo. E em perfeita hibernação."
"732" "VADER" "Ele é todo seu caçador de recompensas. Reinicialize a câmara para Skywalker."
"733" "OFICIAL IMPERIAL" "Skywalker acaba de desembarcar, meu senhor."
"734" "VADER" "Bom. Faça com que ele encontre o caminho até aqui. Calrissian, leve a princesa e o Wookiee para minha nave."
"735" "LANDO" "Você disse que eles seriam deixados na cidade sob minha supervisão."
"736" "VADER" "Estou alterando o acordo. Por favor, não altere mais."
"737" "LEIA" "Luke! Luke, não -- é uma armadilha! É uma armadilha!"
"738" "VADER" "A Força está com você, jovem Skywalker. Mas você ainda não é um Jedi."
"739" "LANDO" "Muito bem. Segure-os na torre de segurança - e fique quieto. Mova-se."
"740" "LEIA" "O que você pensa que está fazendo?"
"741" "LANDO" "Vamos sair daqui."
"742" "THREEPIO" "Eu sabia o tempo todo que tinha que ser um erro."
"743" "LEIA" "Você acha que depois do que fez com Han vamos confiar em você?"
"744" "LANDO" "Não tive escolha..."
"745" "THREEPIO" "O que você está fazendo? Confie nele, confie nele!"
"746" "LEIA" "Ah, então entendemos, não é, Chewie? Ele não teve escolha."
"747" "LANDO" "Só estou tentando ajudar..."
"748" "LEIA" "Não precisamos da sua ajuda."
"749" "LANDO" "Haaa..."
"750" "LEIA" "O quê?"
"751" "THREEPIO" "Parece Han."
"752" "LANDO" "Ainda há uma chance de salvar Han... quero dizer, na Plataforma Leste..."
"753" "LEIA" "Chewie."
"754" "THREEPIO" "Sinto muito por tudo isso. Afinal, ele é apenas um Wookiee."
"755" "BOBA FETT" "Coloque o Capitão Solo no porão de carga."
"756" "THREEPIO" "Artoo! Artoo! Onde você esteve?"
"757" "THREEPIO" "Vire-se, seu peludo...! Depressa, depressa! Estamos tentando salvar Han do caçador de recompensas!"
"758" "THREEPIO" "Bem, pelo menos você ainda está inteiro! Veja o que aconteceu comigo!"
"759" "THREEPIO" "Ah, não! Chewie, eles estão atrás de você!"
"760" "VADER" "Você aprendeu muito, jovem."
"761" "LUKE" "Você vai descobrir que estou cheio de surpresas."
"762" "VADER" "Seu destino está comigo, Skywalker. Obi-Wan sabia que isso era verdade."
"763" "LUKE" "Não!"
"764" "VADER" "Muito fácil. Talvez você não seja tão forte quanto o Imperador pensava."
"765" "VADER" "Impressionante... mais impressionante."
"766" "VADER" "Obi-Wan te ensinou bem. Você controlou seu medo... agora libere sua raiva."
"767" "VADER" "Só seu ódio pode me destruir."
"768" "LANDO" "Os códigos de segurança foram alterados!"
"769" "THREEPIO" "Artoo, você pode dizer ao computador para substituir o sistema de segurança."
"770" "LANDO" "Atenção! Aqui é Lando Calrissian. O Império assumiu o controle da cidade. Aconselho a todos a irem embora antes que mais tropas imperiais cheguem."
"771" "LANDO" "Por aqui."
"772" "THREEPIO" "Não me culpe. Sou um intérprete. Não deveria saber distinguir uma tomada de um terminal de computador."
"773" "THREEPIO" "Do que você está falando? Não estamos interessados no hiperdrive da Millennium Falcon. Está consertado! Apenas abra a porta, seu idiota."
"774" "THREEPIO" "Eu nunca duvidei de você por um segundo. Maravilhoso!"
"775" "THREEPIO" "Ai! Oh! Ah! Isso doeu, Abaixe-se, seu impensado... Ai!"
"776" "LANDO" "Leia! Vá!"
"777" "THREEPIO" "Eu pensei que aquela besta peluda seria o meu fim. Claro, eu pareço melhor."
"778" "VADER" "Você está derrotado. É inútil resistir. Não se deixe destruir como Obi-Wan fez."
