"personagem" "diálogo"
"293" "VADER" "Como desejar."
"294" "TARKIN" "Esta briga é inútil. Lord Vader nos fornecerá a localização da fortaleza Rebelde quando esta estação estiver operacional. Nós então esmagaremos a Rebelião com um golpe rápido."
"295" "LUKE" "Parece que o Povo da Areia fez isso, tudo bem. Olha, aqui estão gafes, faixas de bantha. É só que... eu nunca ouvi falar deles batendo em algo tão grande antes."
"296" "BEN" "Eles não o fizeram. Mas devemos pensar que sim. Essas faixas estão lado a lado. Areia As pessoas sempre andam em fila indiana para esconder seus números."
"297" "LUKE" "Estes são os mesmos Jawas que nos venderam Artoo e Threepio."
"298" "BEN" "E esses pontos de explosão, precisos demais para o Povo da Areia. Apenas tropas de assalto imperiais são tão precisas."
"299" "LUKE" "Por que as tropas imperiais querem matar Jawas?"
"300" "LUKE" "Se eles rastrearam os robôs aqui, eles podem ter descoberto para quem eles os venderam. E isso os levaria de volta para casa!"
"301" "BEN" "Espere, Luke! É muito perigoso."
"302" "LUKE" "Tio Owen! Tia Beru! Tio Owen!"
"303" "VADER" "E, agora, Sua Alteza, vamos discutir a localização de sua base Rebelde escondida."
"304" "BEN" "Não há nada que você poderia ter feito, Luke, se você estivesse lá. Você teria sido morto também, e os droides agora estariam nas mãos do Império."
"305" "LUKE" "Eu quero ir com você para Alderaan. Não há nada aqui para mim agora. Eu quero aprender os caminhos da Força e me tornar um Jedi como meu pai."
"306" "BEN" "Porto Espacial de Mos Eisley. Você nunca encontrará uma colméia mais miserável de escória e vilania. Devemos ser cautelosos."
"307" "TROOPER" "Há quanto tempo você tem esses droides?"
"308" "LUKE" "Cerca de três ou quatro temporadas."
"309" "BEN" "Estão à venda se você quiser."
"310" "SOLDADO" "Deixe-me ver sua identificação."
"311" "BEN" "Você não precisa ver a identificação dele."
"312" "TROOPER" "Não precisamos ver a identificação dele."
"313" "BEN" "procurando."
"314" "TROOPER" "Estes não são os droides que estamos procurando."
"315" "BEN" "Ele pode cuidar de seus negócios."
"316" "TROOPER" "Você pode cuidar de seus negócios."
"317" "BEN" "Siga em frente."
"318" "TROOPER" "Siga em frente. Siga em frente."
"319" "THREEPIO" "Eu não suporto esses Jawas. Criaturas nojentas."
"320" "LUKE" "Continue, continue. Não consigo entender como passamos por aqueles soldados. Achei que estávamos mortos."
"321" "BEN" "A Força pode ter uma forte influência sobre os fracos de mente. Você a achará um poderoso aliado."
"322" "LUKE" "Você realmente acha que vamos encontrar um piloto aqui que nos levará a Alderaan?"
"323" "BEN" "Bem, a maioria dos melhores pilotos de cargueiros podem ser encontrados aqui. Apenas tome cuidado. Este lugar pode ser um pouco difícil."
"324" "LUKE" "Estou pronto para qualquer coisa."
"325" "THREEPIO" "Venha, Artoo."
"326" "BARMAN" "Nós não servimos o tipo deles aqui!"
"327" "LUKE" "O quê?"
"328" "BARMAN" "Seus droides. Eles vão ter que esperar lá fora. Não os queremos aqui."
"329" "LUKE" "Ouça, por que você não espera perto do speeder. Não queremos problemas."
"330" "THREEPIO" "Concordo plenamente com o senhor."
"331" "CRIATURA" "Negola dewaghi lenhador?!?"
"332" "HUMANO" "Ele não gosta de você."
"333" "LUKE" "Sinto muito."
"334" "HUMANO" "Eu também não gosto de você"
"335" "HUMANO" "Não nos insulte. Apenas observe a si mesmo. Somos homens procurados. Tenho a sentença de morte em doze sistemas."
"336" "LUKE" "Terei cuidado do que."
"337" "HUMANO" "Você estará morto."
"338" "BEN" "Este pequeno não vale o esforço. Venha, deixe-me comprar algo para você..."
"339" "BARMAN" "Sem detonadores! Sem detonadores!"
"340" "BEN" "Este é Chewbacca. Ele é imediato em um navio que pode atender às nossas necessidades."
"341" "THREEPIO" "Eu não gosto da aparência disso."
"342" "HAN" "Han Solo. Sou o capitão da Millennium Falcon. Chewie aqui me disse que você está procurando uma passagem para o sistema Alderaan."
"343" "BEN" "Sim, de fato. Se for um navio rápido."
"344" "HAN" "Nave rápida? Você nunca ouviu falar da Millennium Falcon?"
"345" "BEN" "Devia ter?"
"346" "HAN" "É a nave que fez o Kessel correr em menos de doze parsecs!"
"347" "HAN" "Eu ultrapassei as naves imperiais, não os cruzadores locais, veja bem. Estou falando das grandes naves Corellianas agora. Ela é rápida o suficiente para você, velho. Qual é a carga?"
"348" "BEN" "Somente passageiros. Eu, o garoto, dois droides, e nenhuma pergunta."
"349" "HAN" "O que é? Algum tipo de problema local?"
"350" "BEN" "Vamos apenas dizer que gostaríamos de evitar qualquer envolvimento imperial."
"351" "HAN" "Bem, esse é o verdadeiro truque, não é? E vai te custar algo extra. Dez mil adiantados."
"352" "LUKE" "Dez mil? Quase poderíamos comprar nosso próprio navio por isso!"
"353" "HAN" "Mas quem vai pilotar, garoto! Você?"
"354" "LUKE" "Pode apostar que eu poderia. Eu não sou um piloto tão ruim assim! Nós não temos que sentar aqui e ouvir..."
"355" "BEN" "Não temos muito conosco. Mas podemos pagar-lhe dois mil agora, mais quinze quando chegarmos a Alderaan."
"356" "HAN" "Dezessete, hein!"
"357" "HAN" "Ok. Vocês conseguiram um navio. Partiremos assim que estiverem prontos. Doca 94."
"358" "BEN" "Noventa e quatro."
"359" "HAN" "Parece que alguém está começando a se interessar pelo seu trabalho."
"360" "TROOPER" "Tudo bem, vamos verificar."
"361" "HAN" "Dezessete mil! Esses caras devem estar realmente desesperados. Isso pode realmente salvar meu pescoço. Volte para a nave e prepare-a."
"362" "BEN" "Você vai ter que vender seu speeder."
"363" "LUKE" "Tudo bem. Eu nunca vou voltar para este planeta novamente."
"364" "GREEDO" "Indo para algum lugar, Solo?"
"365" "HAN" "Sim, Greedo. Na verdade, eu estava indo ver seu chefe. Diga a Jabba que eu tenho o dinheiro dele."
"366" "GREEDO" "É tarde demais. Você deveria ter pago a ele quando teve a chance. Jabba colocou um preço por sua cabeça, tão grande que todos os caçadores de recompensas na galáxia estarão procurando por você. encontrei você primeiro."
"367" "HAN" "Sim, mas desta vez eu consegui o dinheiro."
"368" "GREEDO" "Se você me der, posso esquecer que encontrei você."
"369" "HAN" "Eu não tenho isso comigo. Diga a Jabba..."
"370" "GREEDO" "Jabba acabou com você. Ele não tem tempo para contrabandistas que deixam seus carregamentos ao primeiro sinal de um cruzador imperial."
"371" "HAN" "Até eu sou abordado às vezes. Você acha que eu tive escolha?"
"372" "GREEDO" "Você pode dizer isso para Jabba. Ele só pode levar seu navio."
"373" "HAN" "Sobre meu cadáver."
"374" "GREEDO" "Essa é a ideia que eu estava ansioso para matar você por um longo tempo."
"375" "HAN" "Sim, aposto que sim."
"376" "HAN" "Desculpe pela bagunça."
"377" "VADER" "Sua resistência à sonda mental é considerável. Levará algum tempo até que possamos extrair qualquer informação dela."
"378" "OFICIAL IMPERIAL" "O check-out final está completo. Todos os sistemas estão operacionais. Que rumo devemos definir?"
"379" "TARKIN" "Talvez ela respondesse a uma forma alternativa de persuasão."
"380" "VADER" "O que você quer dizer?"
"381" "TARKIN" "Acho que é hora de demonstrarmos todo o poder desta estação. Defina seu curso para o planeta natal da Princesa Leia, Alderaan."
"382" "TROOPER" "Com prazer."
"383" "THREEPIO" "Tranque a porta, Artoo."
"384" "TROOPER" "Tudo bem, verifique esse lado da rua. É seguro. Vá para a próxima porta."
"385" "THREEPIO" "Eu preferia ter ido com Mestre Luke do que ficar aqui com você. Não sei do que se trata todo esse problema, mas tenho certeza que deve ser sua culpa."
"386" "THREEPIO" "Cuidado com sua linguagem!"
"387" "LUKE" "Ele diz que é o melhor que pode fazer. Desde que o XP-38 saiu, eles "
"388" "BEN" "Será suficiente."
"389" "BEN" "Se o navio for tão rápido quanto ele está se gabando, devemos nos sair bem."
"390" "JABBA" "Venha, Solo!"
"391" "HAN" "Eu estive esperando por você, Jabba."
"392" "JABBA" "Eu esperava que você fosse."
"393" "HAN" "Eu não sou do tipo que corre."
"394" "JABBA" "Han, meu rapaz, há momentos em que você me decepciona... por que você não me pagou? E por que você teve que fritar o pobre Greedo assim... depois de tudo que passamos através juntos."
"395" "HAN" "Você enviou Greedo para me explodir."
"396" "JABBA" "Han, por que você é o melhor contrabandista no negócio. Você é muito valioso para fritar. Ele estava apenas transmitindo minha preocupação com seus atrasos. Ele não iria explodir você."
"397" "HAN" "Eu acho que ele pensou que sim. Da próxima vez não mande um desses idiotas. Se você tem algo a me dizer, venha me ver você mesmo."
"398" "JABBA" "Han, Han! Se ao menos você não tivesse que despejar aquele carregamento de especiarias... você entende que eu não posso abrir uma exceção. sua remessa ao primeiro sinal de uma nave imperial? Não é um bom negócio.
"399" "HAN" "Você sabe, até eu sou embarcado às vezes, Jabba. Eu não tive escolha, mas eu tenho uma carta agora e eu posso te pagar de volta, mais um pouco mais. Eu só preciso de mais algum tempo."
"400" "JABBA" "Guarde seus blasters. Han, meu rapaz, eu só estou fazendo isso porque você é o melhor e eu preciso de você. Então, por um extra, digamos... vinte por cento eu dou você um pouco mais de tempo... mas é isso, se você me decepcionar de novo, eu colocarei um preço tão alto por sua cabeça que você não será capaz de se aproximar de um sistema civilizado pelo resto de sua curta vida. "
"401" "HAN" "Jabba, eu vou te pagar porque é um prazer."
"402" "LUKE" "Que lixo."
"403" "HAN" "Ela vai fazer ponto cinco além da velocidade da luz. Ela pode não parecer muito, mas ela está onde é importante, garoto. Eu mesmo adicionei algumas modificações especiais."
"404" "HAN" "Estamos um pouco apressados, então se você se apressar a bordo, sairemos daqui."
"405" "THREEPIO" "Olá, senhor."
"406" "SOLDADO" "Para que lado?"
"407" "SOLDADO" "Tudo bem, homens. Carreguem suas armas!"
"408" "SOLDADO" "Pare esse navio!"
"409" "SOLDADO" "Acabe com eles!"
"410" "HAN" "Chewie, tire-nos daqui!"
"411" "THREEPIO" "Oh, que coisa. Eu tinha esquecido o quanto eu odeio viagens espaciais."
"412" "HAN" "Parece um cruzador imperial. Nossos passageiros devem estar mais quentes do que eu pensava. Tente segurá-los. Incline o escudo defletor enquanto faço os cálculos para o salto para a velocidade da luz."
"413" "HAN" "Fique atento! Há mais dois chegando; eles vão tentar nos cortar."
"414" "LUKE" "Por que você não os supera? Achei que você disse que essa coisa era rápida."
"415" "HAN" "Cuidado com a boca, garoto, ou você vai encontrar-se flutuando para casa. Estaremos seguros o suficiente quando fizermos o salto para o hiperespaço. Além disso, eu conheço algumas manobras. Perderemos eles!"
"416" "HAN" "Aqui é onde a diversão começa!"
"417" "BEN" "Quanto tempo antes que você possa fazer o salto para a velocidade da luz?"
"418" "HAN" "Vai levar alguns instantes para obter as coordenadas do computador de navegação."
"419" "LUKE" "Você está brincando? No ritmo que eles estão ganhando..."
"420" "HAN" "Viajar pelo hiperespaço não é como limpar plantações, garoto! Sem cálculos precisos, poderíamos voar direto através de uma estrela ou saltar muito perto de uma supernova e isso terminaria sua viagem bem rápido, não é? ?"
"421" "LUKE" "O que é isso piscando?"
"422" "HAN" "Estamos perdendo nosso escudo defletor. Vá se amarrar, vou pular para a velocidade da luz."
"423" "MOTTI" "Entramos no sistema Alderaan."
"424" "LEIA" "Governador Tarkin, eu deveria ter esperado encontrá-lo segurando a coleira de Vader. Reconheci seu mau cheiro quando fui trazido a bordo."
"425" "TARKIN" "Encantador até o fim. Você não sabe o quanto eu achei difícil assinar a ordem para acabar com sua vida!"
"426" "LEIA" "assumir a responsabilidade você mesmo!"
"427" "TARKIN" "Princesa Leia, antes de sua execução eu gostaria que você fosse minha convidada em uma cerimônia que tornará esta estação de batalha operacional. Nenhum sistema estelar ousará se opor ao Imperador agora."
"428" "LEIA" "Quanto mais você apertar seu aperto, Tarkin, mais sistemas estelares escaparão por entre seus dedos."
"429" "TARKIN" "Não depois de demonstrarmos o poder desta estação. De certa forma, você determinou a escolha do planeta que será destruído primeiro. Já que você está relutante em nos fornecer a localização da base Rebelde , eu escolhi testar o poder destrutivo desta estação... em seu planeta natal de Alderaan."
"430" "LEIA" "Não! Alderaan é pacífica. Não temos armas. Você não pode..."
"431" "TARKIN" "Você prefere outro alvo? Um alvo militar? Então nomeie o sistema!"
"432" "TARKIN" "Estou cansado de perguntar isso. Então será a última vez. Onde fica a base Rebelde?"
"433" "LEIA" "Dantooine."
"434" "LEIA" "Eles estão em Dantooine."
"435" "TARKIN" "Ali. Você vê Lord Vader, ela pode ser razoável. Continue com a operação. Você pode atirar quando estiver pronto."
"436" "LEIA" "O quê?"
"437" "TARKIN" "Você está confiando demais. Dantooine é muito distante para fazer uma demonstração eficaz. Mas não se preocupe. Nós vamos lidar com seus amigos rebeldes em breve."
"438" "LEIA" "Não!"
"439" "VADER" "Iniciar ignição primária."
"440" "LUKE" "Você está bem? O que há de errado?"
"441" "BEN" "Senti uma grande perturbação na Força... como se milhões de vozes de repente gritassem de terror e fossem silenciadas de repente. Temo que algo terrível tenha acontecido."
"442" "BEN" "É melhor você continuar com seus exercícios."
"443" "HAN" "Bem, você pode esquecer seus problemas com aquelas lesmas imperiais. Eu disse que ia superar eles."
"444" "HAN" "Nem todos me agradecem de uma vez."
"445" "HAN" "De qualquer forma, devemos estar em Alderaan cerca de oh-duzentas horas."
"446" "THREEPIO" "Agora tenha cuidado, Artoo."
"447" "THREEPIO" "Ele fez uma jogada justa. Gritar sobre isso não vai te ajudar."
"448" "HAN" "Deixe-o ficar com ele. Não é sábio perturbar um Wookiee."
"449" "THREEPIO" "Mas senhor, ninguém se preocupa em perturbar um droide."
"450" "HAN" "Isso é porque dróides não tiram os braços das pessoas quando perdem. Wookiees são conhecidos por fazer isso."
"451" "THREEPIO" "Entendo, senhor. Sugiro uma nova estratégia, Artoo. Deixe o Wookiee vencer."
"452" "BEN" "Lembre-se, um Jedi pode sentir a Força fluindo através dele."
"453" "LUKE" "Você quer dizer que controla suas ações?"
"454" "BEN" "Parcialmente. Mas também obedece aos seus comandos."
"455" "HAN" "Religiões hipócritas e armas antigas não são páreo para um bom blaster ao seu lado, garoto."
"456" "LUKE" "Você não acredita na Força, acredita?"
"457" "HAN" "Garoto, eu voei de um lado desta galáxia para o outro. Eu vi um monte de coisas estranhas, mas nunca vi nada que me fizesse acreditar que existe uma força todo-poderosa controlando tudo. Não há nenhum campo de energia mística que controle meu destino."
"458" "HAN" "É tudo um monte de truques simples e sem sentido."
"459" "BEN" "Eu sugiro que você tente novamente, Luke."
"460" "BEN" "Desta vez, solte seu eu consciente e aja por instinto."
"461" "LUKE" "Com o escudo anti-explosão abaixado, eu nem consigo ver. Como eu vou lutar?"
"462" "BEN" "Seus olhos podem te enganar. Não confie neles."
"463" "BEN" "Estique-se com seus sentimentos."
"464" "BEN" "Você vê, você pode fazer isso."
"465" "HAN" "Eu chamo isso de sorte."
"466" "BEN" "Na minha experiência, sorte não existe."
"467" "HAN" "Olha, ir bem contra controles remotos é uma coisa. Ir bem contra os vivos? Isso é outra coisa."
"468" "HAN" "Parece que estamos chegando em Alderaan."
"469" "LUKE" "Sabe, eu senti alguma coisa. Eu quase podia ver o controle remoto."
"470" "BEN" "Isso é bom. Você deu seu primeiro passo para um mundo maior."
"471" "TARKIN" "Sim."
"472" "OFICIAL CASS" "Nossas naves de reconhecimento chegaram a Dantooine. Encontraram os restos de uma base rebelde, mas estimam que ela esteja deserta há algum tempo. Agora estão realizando uma extensa busca nos sistemas ao redor."
"473" "TARKIN" "Ela mentiu! Ela mentiu para nós!"
"474" "VADER" "Eu lhe disse que ela nunca trairia conscientemente a Rebelião."
"475" "TARKIN" "Acabe com ela... imediatamente!"
"476" "HAN" "Aguarde, Chewie, aqui vamos nós. Desligue os motores da subluz."
"477" "HAN" "O que...? Ah, saímos do hiperespaço para uma chuva de meteoros. Algum tipo de colisão de asteróides. Não está em nenhum dos gráficos."
"478" "LUKE" "O que está acontecendo?"
"479" "HAN" "Nossa posição está correta, exceto... não, Alderaan!"
"480" "LUKE" "O que você quer dizer? Onde está?"
"481" "HAN" "Isso é o que estou tentando te dizer, garoto. Não está lá. Foi totalmente explodido."
"482" "LUKE" "O quê? Como?"
"483" "BEN" "Destruído... pelo Império!"
"484" "HAN" "A Frota Estelar inteira não poderia destruir o planeta inteiro. Seriam necessárias mil naves com mais poder de fogo do que eu..."
"485" "HAN" "Há outro navio chegando."
"486" "LUKE" "Talvez eles saibam o que aconteceu."
"487" "BEN" "É um caça Imperial."
"488" "LUKE" "Ele nos seguiu!"
"489" "BEN" "Não. É um caça de curto alcance."
"490" "HAN" "Não há nenhuma base por aqui. De onde veio?"
"491" "LUKE" "Com certeza está saindo com muita pressa. Se eles nos identificarem, estamos em apuros."
"492" "HAN" "Não se eu puder evitar. Chewie... bloqueie suas transmissões."
"493" "BEN" "Seria melhor deixá-lo ir. Está muito fora de alcance."
"494" "HAN" "Não por muito tempo..."
"495" "BEN" "Um caça desse tamanho não poderia ir tão fundo no espaço sozinho."
"496" "LUKE" "Então ele deve ter se perdido, feito parte de um comboio ou algo assim..."
"497" "HAN" "Bem, ele não vai ficar por aqui tempo suficiente para contar a ninguém sobre nós."
"498" "LUKE" "Olhe para ele. Ele está indo para aquela pequena lua."
"499" "HAN" "Acho que posso pegá-lo antes que ele chegue lá... ele está quase no alcance."
"500" "BEN" "Isso não é lua! É uma estação espacial."
"501" "HAN" "É grande demais para ser uma estação espacial."
"502" "LUKE" "Tenho um mau pressentimento sobre isso."
"503" "BEN" "Vire a nave!"
"504" "HAN" "Sim, acho que você está certo. Reverso completo! Chewie, bloqueie a energia auxiliar."
"505" "LUKE" "Por que ainda estamos nos movendo em direção a isso?"
"506" "HAN" "Estamos presos em um raio trator! Ele está nos puxando!"
"507" "LUKE" "Mas tem que haver algo que você possa fazer!"
"508" "HAN" "Não há nada que eu possa fazer sobre isso, garoto. Estou no poder total. Vou ter que desligar. Mas eles não vão me pegar sem lutar!"
"509" "BEN" "Você não pode vencer. Mas existem alternativas para lutar."
"510" "VOZ OVER DEATH STAR INTERCOM" "Clear Bay vinte e três e sete. Estamos abrindo o campo magnético."
"511" "OFICIAL" "Para suas estações!"
"512" "OFICIAL" "Venha comigo."
"513" "OFICIAL" "Feche todas as proteções externas! Feche todas as proteções externas!"
"514" "TARKIN" "Sim."
"515" "VOZ" "Capturamos um cargueiro entrando nas ruínas do sistema Alderaan. Suas marcas coincidem com as de um navio que saiu de Mos Eisley."
"516" "VADER" "Eles devem estar tentando devolver os planos roubados para a princesa. Ela ainda pode ser de alguma utilidade para nós."
"517" "VOZ" "Desbloqueie um-cinco-sete e nove. Liberte as cargas."
"518" "OFICIAL" "Não há ninguém a bordo, senhor. De acordo com o diário, a tripulação abandonou o navio logo após a decolagem. Deve ser um chamariz, senhor. Várias cápsulas de fuga foram descartadas."
"519" "VADER" "Encontrou algum droid?"
"520" "OFICIAL" "Não, senhor. Se havia algum a bordo, eles também devem ter abandonado."
"521" "VADER" "Envie uma equipe de varredura a bordo. Quero que todas as partes desta nave sejam verificadas."
"522" "OFICIAL" "Sim, senhor."
"523" "VADER" "Sinto algo... uma presença que não sinto desde..."
"524" "OFICIAL" "Traga-me uma equipe de varredura aqui em dobro. Quero que todas as partes desta nave sejam verificadas!"
"525" "LUKE" "Rapaz, que sorte você ter esses compartimentos."
"526" "HAN" "Eu os uso para contrabando. Nunca pensei que estaria me contrabandeando neles. Isso é ridículo. Mesmo se eu pudesse decolar, nunca passaria do raio trator."
"527" "BEN" "Deixe isso comigo!"
"528" "HAN" "Maldito idiota. Eu sabia que você ia dizer isso!"
"529" "BEN" "Quem é o mais tolo... o tolo ou o tolo que o segue?"
"530" "TROOPER" "A nave é toda sua. Se os scanners detectarem alguma coisa, informe imediatamente. Tudo bem, vamos."
"531" "HAN" "Ei, você poderia nos dar uma mão com isso?"
"532" "GANTRY OFFICER" "TX-quatro-um-dois. Por que você não está no seu posto? TX-quatro-um-dois, você copia?"
"533" "GANTRY OFFICER" "Assumir. Temos um transmissor ruim. Vou ver o que posso fazer."
"534" "LUKE" "Sabe, entre o uivo dele e você explodindo tudo à vista, é de se admirar que a estação inteira não saiba que estamos aqui."
"535" "HAN" "Tragam-nos! Prefiro uma luta direta a toda essa confusão."
"536" "THREEPIO" "Encontramos a tomada do computador, senhor."
"537" "BEN" "Conecte. Ele deve ser capaz de interpretar toda a rede de computadores Imperial."
"538" "THREEPIO" "Ele diz que encontrou o controle principal do feixe de energia que está segurando a nave aqui. Ele vai tentar fazer a localização precisa aparecer no monitor."
"539" "THREEPIO" "O raio trator é acoplado ao reator principal em sete locais. Uma perda de energia em um dos terminais permitirá que o navio saia."
"540" "BEN" "Eu não acho que vocês meninos podem ajudar. Eu devo ir sozinho."
"541" "HAN" "O que você disser. Já fiz mais do que esperava nesta viagem."
"542" "LUKE" "Eu quero ir com você."
"543" "BEN" "Seja paciente, Luke. Fique e cuide dos droides."
"544" "LUKE" "Mas ele pode..."
"545" "BEN" "Eles devem ser entregues com segurança ou outros sistemas estelares sofrerão o mesmo destino que Alderaan. Seu destino está em um caminho diferente do meu. A Força estará com você... sempre!"
"546" "HAN" "Cara, você disse isso, Chewie."
"547" "HAN" "Onde você desenterrou aquele velho fóssil?"
"548" "LUKE" "Ben é um grande homem."
"549" "HAN" "Sim, ótimo para nos colocar em apuros."
"550" "LUKE" "Eu não ouvi você dar nenhuma ideia..."
"551" "HAN" "Bem, qualquer coisa seria melhor do que ficar esperando eles nos buscarem..."
"552" "LUKE" "Quem você acha..."
"553" "LUKE" "O que é?"
"554" "THREEPIO" "Acho que não tenho certeza, senhor. Ele diz \"Encontrei ela\" e fica repetindo \"Ela está aqui\""
"555" "LUKE" "Bem, quem... quem ele encontrou?"
"556" "THREEPIO" "Princesa Leia."
"557" "LUKE" "A princesa? Ela está aqui?"
"558" "HAN" "Princesa?"
"559" "LUKE" "Onde... onde ela está?"
"560" "HAN" "Princesa? O que está acontecendo?"
"561" "THREEPIO" "Nível cinco. Bloco de detenção AA-vinte e três. Receio que ela está programada para ser demitida."
"562" "LUKE" "Ah, não! Temos que fazer alguma coisa."
"563" "HAN" "Do que você está falando?"
"564" "LUKE" "O droide pertence a ela. É ela quem está na mensagem. Temos que ajudá-la."
"565" "HAN" "Agora, olhe, não tenha nenhuma idéia engraçada. O velho quer que esperemos bem aqui."
"566" "LUKE" "Mas ele não sabia que ela estava aqui. Olha, você vai encontrar um caminho de volta para o bloco de detenção?"
"567" "HAN" "Eu não vou a lugar nenhum."
"568" "LUKE" "Eles vão executá-la. Olha, alguns minutos atrás você disse que não queria apenas esperar aqui para ser capturado. Agora tudo que você quer fazer é ficar."
"569" "HAN" "Marchar para a área de detenção não é o que eu tinha em mente."
"570" "LUKE" "Mas eles vão matá-la!"
"571" "HAN" "Melhor ela do que eu..."
"572" "LUKE" "Ela é rica."
"573" "HAN" "Rico?"
"574" "LUKE" "Sim. Rico, poderoso! Ouça, se você fosse resgatá-la, a recompensa seria..."
"575" "HAN" "O quê?"
"576" "LUKE" "Bem, mais riqueza do que você pode imaginar."
"577" "HAN" "Não sei, posso imaginar bastante!"
"578" "LUKE" "Você vai conseguir!"
"579" "HAN" "É melhor eu!"
"580" "LUKE" "Você vai..."
"581" "HAN" "Tudo bem, garoto. Mas é melhor você estar certo sobre isso!"
"582" "LUKE" "Tudo bem."
"583" "HAN" "Qual é o seu plano?"
"584" "LUKE" "Uh... Threepio, me dê esses fichários, sim?"
"585" "LUKE" "Ok. Agora, vou colocar isso em você."
"586" "LUKE" "Ok. Han, você coloca isso."
"587" "HAN" "Não se preocupe, Chewie. Acho que sei o que ele tem em mente."
"588" "THREEPIO" "Mestre Luke, senhor! Perdoe-me por perguntar... mas, ah... o que Artoo e eu devemos fazer se formos descobertos aqui?"
"589" "LUKE" "Tranque a porta!"
"590" "HAN" "E espero que eles não tenham blasters."
"591" "THREEPIO" "Isso não é muito reconfortante."
"592" "LUKE" "Não consigo ver nada neste capacete."
"593" "HAN" "Isso não vai funcionar."
"594" "LUKE" "Por que você não disse isso antes?"
"595" "HAN" "Eu disse isso antes!"
"596" "OFICIAL" "Onde você está levando essa... coisa?"
"597" "LUKE" "Transferência de prisioneiro do Bloco um-um-três-oito."
"598" "OFICIAL" "Não fui notificado. Vou ter que limpá-lo."
"599" "HAN" "Cuidado! Ele está solto!"
"600" "LUKE" "Ele vai nos separar."
"601" "HAN" "Vá buscá-lo!"
"602" "HAN" "Nós temos que descobrir em qual cela esta sua princesa está. Aqui está... cela vinte e um e oito e sete. Você vai buscá-la. Eu vou mantê-los aqui. "
"603" "HAN" "Tudo está sob controle. Situação normal."
"604" "VOZ INTERCOM" "O que aconteceu?"
"605" "HAN" "Uh... teve um pequeno defeito nas armas. Mas, uh, tudo está perfeitamente bem agora. Estamos bem. Estamos todos bem aqui, agora, obrigado. Como você está?"
"606" "VOZ DE INTERCOM" "Estamos enviando um esquadrão."
"607" "HAN" "Uh, uh, negativo, negativo. Tivemos um vazamento no reator aqui agora. Dê-nos alguns minutos para bloqueá-lo. Vazamento grande... muito perigoso."
"608" "VOZ DE INTERCOM" "Quem é? Qual é o seu número de operação?"
"609" "HAN" "Conversa chata de qualquer maneira. Luke! Nós vamos ter companhia!"
"610" "LEIA" "Você não é um pouco curto para um stormtrooper?"
"611" "LUKE" "O quê? Oh... o uniforme. Eu sou Luke Skywalker. Estou aqui para resgatá-lo."
"612" "LEIA" "Você é quem?"
"613" "LUKE" "Estou aqui para resgatá-lo. Tenho sua unidade R2. Estou aqui com Ben Kenobi."
"614" "LEIA" "Ben Kenobi está aqui! Onde ele está?"
"615" "LUKE" "Vamos!"
"616" "VADER" "Ele está aqui..."
"617" "TARKIN" "Obi-Wan Kenobi! O que te faz pensar assim?"
"618" "VADER" "Um tremor na Força. A última vez que senti foi na presença do meu antigo mestre."
"619" "TARKIN" "Certamente ele deve estar morto agora."
"620" "VADER" "Não subestime a Força."
"621" "TARKIN" "Os Jedi estão extintos, seu fogo se apagou do universo. Você, meu amigo, é tudo o que resta da religião deles."
"622" "TARKIN" "Sim."
"623" "VOZ DE INTERCOM" "Governador Tarkin, temos um alerta de emergência no bloco de detenção AA-vinte e três."
"624" "TARKIN" "A princesa! Coloque todas as seções em alerta!"
"625" "VADER" "Obi-Wan está aqui. A Força está com ele."
"626" "TARKIN" "Se você estiver certo, ele não pode escapar."
"627" "VADER" "Escape pode não ser seu plano. Devo enfrentá-lo sozinho."
"628" "HAN" "Chewie!"
"629" "HAN" "Fique atrás de mim! Fique atrás de mim!"
"630" "HAN" "Não pode sair dessa maneira."
"631" "LEIA" "Parece que você conseguiu cortar nossa única rota de fuga."
"632" "HAN" "Talvez você queira de volta em sua cela, Sua Alteza."
"633" "LUKE" "Vê-Trêspio! Vê-Três!"
"634" "TRÊS" "Sim senhor?"
"635" "LUKE" "Fomos cortados! Existem outras maneiras de sair da cela?...O que foi isso? Eu não copiei!"
"636" "THREEPIO" "Eu disse, todos os sistemas foram alertados sobre sua presença, senhor. A entrada principal parece ser a única saída; todas as outras informações em seu nível são restritas."
"637" "VOZ DE SOLDADO" "Abra aí!"
"638" "THREEPIO" "Ah, não!"
"639" "LUKE" "Não há outra saída."
"640" "HAN" "Eu não posso segurá-los para sempre! E agora?"
"641" "LEIA" "Isso é um resgate. Quando você entrou aqui, você não tinha um plano para sair?"
"642" "HAN" "Ele é o cérebro, querida."
"643" "LUKE" "Bem, eu não..."
"644" "HAN" "O que diabos você está fazendo?"
"645" "LEIA" "Alguém tem que salvar nossas peles. Para o lixo, espertinho."
"646" "HAN" "Entra aí seu grande idiota peludo! Eu não me importo com o que você cheira! Entre lá e não se preocupe com isso."
"647" "HAN" "Menina maravilhosa! Ou eu vou matá-la ou estou começando a gostar dela. Entre lá!"
"648" "HAN" "Ah! A calha de lixo foi uma ideia realmente maravilhosa. Que cheiro incrível você descobriu! Vamos sair daqui! Saia daí..."
"649" "LUKE" "Não! espere!"
"650" "LUKE" "Você vai esquecer? Eu já tentei. É selado magneticamente!"
